,time,variable,value,iteration,name
155,2020-02-20 22:57:53.395213250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
156,2020-02-20 22:57:54.389294250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
157,2020-02-20 22:57:55.396411750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
158,2020-02-20 22:57:56.398343250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
159,2020-02-20 22:57:57.395559750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
160,2020-02-20 22:57:58.394586000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
161,2020-02-20 22:57:59.389918750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
162,2020-02-20 22:58:00.389085500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
163,2020-02-20 22:58:01.398155500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
164,2020-02-20 22:58:02.390215250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
165,2020-02-20 22:58:03.398069000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
166,2020-02-20 22:58:04.396075250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
167,2020-02-20 22:58:05.389535500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
168,2020-02-20 22:58:06.390092250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
169,2020-02-20 22:58:07.389394250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
170,2020-02-20 22:58:08.397608000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
171,2020-02-20 22:58:09.393549000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
172,2020-02-20 22:58:10.389358750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
173,2020-02-20 22:58:11.389808750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
174,2020-02-20 22:58:12.389412500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
175,2020-02-20 22:58:13.398069250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
176,2020-02-20 22:58:14.394946000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
177,2020-02-20 22:58:15.389033250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
178,2020-02-20 22:58:16.389740750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
179,2020-02-20 22:57:22.115188000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),6905024276.0,0,pcap60
180,2020-02-20 22:57:23.125347750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),7256517381.0,0,pcap60
181,2020-02-20 22:57:24.123088500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),6638827942.0,0,pcap60
